41.79899201	123.3630842	218	217	202	
41.78977546	123.3576545	157	156	131	
41.78376717	123.3759888	96	95	17	
41.77497773	123.3455154	35	27	34	
41.80136333	123.3502917	223	222	214	
41.78939122	123.3725528	162	161	141	
41.78250849	123.3262462	101	53	100	
41.77461355	123.3291463	40	31	39	
41.80090272	123.3769523	228	206	227	
41.79315714	123.346058	167	153		
41.7853445	123.3423997	106	105	85	
41.77774057	123.3498071	45	36	44	
41.80267692	123.3351649	233	232	211	
41.79288415	123.3628553	172	171	159	
41.78536042	123.3574635	111	110	90	
41.7755045	123.3269444	50	49		
41.80298399	123.36313	238	237	225	
41.79141681	123.3149348	177	143		
41.78508957	123.3723991	116	96	115	
41.77792397	123.3337142	55	54	41	
41.804144	123.3634046	243	238
41.79459032	123.3414353	182	181		
41.78448414	123.3247719	121	120	101	
41.77920792	123.3497837	60	45	59	
41.8059181	123.3559899	248	237		
41.79424909	123.3602007	187	186	171	
41.78762276	123.3418228	126	125	106	
41.7789394	123.3626557	65	64	12	
41.76215862	123.3380343	4	0		
41.80871562	123.3681646	253	252	244	
41.79592109	123.3462411	192	183		
41.78766259	123.3575383	131	129	111	
41.78066024	123.3398784	70	69	57	
41.77042841	123.3550682	9	8		
41.80919323	123.3262399	258	257	232	
41.7976101	123.3463097	197	192		
41.78742361	123.3724846	136	135	116	
41.78094704	123.3553482	75	74	62	
41.76916942	123.3800821	14	13	11	
41.81185415	123.3617569	263	262	252	
41.79732007	123.3630384	202	201	188	
41.78841313	123.372506	141	140	136	
41.78072397	123.3695786	80	16	79	
41.78336029	123.3850695	19	18		
41.75870235	123.3099672	-1
41.79615995	123.3136533	207	177		
41.7857408	123.3218845	146	145	120	
41.78289088	123.3429553	85	71	84	
41.76871159	123.333277	24	21		
41.79940146	123.3414811	212	211	182	
41.78919911	123.3383757	151	150	125	
41.78293867	123.3573781	90	89	76	
41.77191624	123.3523444	29	28	9	
41.7991285	123.3602923	217	216	201	
41.78977546	123.3555931	156	155	130	
41.7827156	123.372335	95	94		
41.77469161	123.3414104	34	26	33	
41.80146568	123.3464013	222	213		
41.78951347	123.3695779	161	160	140	
41.78177557	123.3245796	100	52	99	
41.77298885	123.3250001	39	30		
41.80090272	123.3728789	227	226	221	
41.78935628	123.3850384	166	165	19	
41.7848984	123.3389382	105	104	84	
41.77774057	123.3454501	44	35	43	
41.80192631	123.3279791	232	231	210	
41.79288415	123.360155	171	170	158	
41.78537635	123.3554764	110	109	89	
41.77496295	123.3254452	49	48		
41.80298399	123.3559442	237	236	224	
41.79346425	123.3775473	176	175	163	164
41.78512143	123.3697069	115	114	94	
41.7773213	123.3317465	54	41	53	
41.80233573	123.3852823	242	241	166	
41.79418084	123.3371787	181	151	180	
41.78384683	123.3231694	120	119	100	
41.77927779	123.3457195	59	44	58	
41.80748745	123.3770896	247	246	241	
41.79431733	123.3556696	186	185	170	
41.78727226	123.3384255	125	124	105	
41.77909874	123.359878	64	63		
41.76255926	123.379545	3	2		
41.80803331	123.3633588	252	251	249	
41.79404435	123.37265	191	190	175	176
41.78770241	123.3555512	130	129	110	
41.78015036	123.3363742	69	68	56	
41.7677673	123.3517689	8	7		
41.808238	123.3195575	257	256	230	
41.79547751	123.3767692	196	195	176	
41.78746344	123.3697069	135	134	115	
41.78110637	123.3526559	74	73	61	
41.76974169	123.3724859	13	12	10	
41.81089896	123.3560815	262	261	251	
41.79735419	123.3603152	201	200	187	
41.7884306	123.3696481	140	135		
41.78081957	123.365348	79	78	66	
41.78278811	123.38154	18	15	17	
41.81137656	123.3859231	267	242	266	
41.79781483	123.3774558	206	205	196	
41.78518187	123.3201042	145	144	119	
41.78247663	123.3394938	84	70	83	
41.76773871	123.3430217	23	22	6	
41.79916262	123.3361718	211	210	181	
41.78891966	123.334534	150	149	124	
41.78297053	123.3554123	89	88	75	
41.77203073	123.3496204	28	27	8	
41.79916262	123.3557611	216	215	200	
41.78989772	123.352993	155	154	129	
41.78262001	123.3696	94	93	80	
41.77417661	123.3377274	33	32		
41.79885553	123.3727415	221	220	205	206
41.78964446	123.3656073	160	159	134	
41.78110637	123.3230411	99	98	50	
41.77480574	123.3550543	38	37	9	
41.80093684	123.3700412	226	225	220	
41.78937375	123.3807282	165	164	139	
41.78448415	123.335434	104	103	83	
41.77732132	123.3407651	43	34	42	
41.801551	123.3251414	231	230	209	
41.79298652	123.3556238	170	169	156	
41.78544008	123.3528482	109	108	88	
41.77436898	123.3239928	48	39		
41.80312046	123.3502688	236	235	223	
41.79267941	123.3725127	175	174	162	
41.7852011	123.3654548	114	113	93	
41.77674482	123.3302239	53	52		
41.80260868	123.3777304	241	240	228	
41.79325951	123.3300387	180	179	149	
41.78324139	123.3215668	119	118	99	
41.77924285	123.3437284	58	44	57	
41.80677101	123.3746638	246	245		
41.79435146	123.3531065	185	184	169	
41.78676244	123.3349854	124	123	104	
41.77916248	123.3572285	63	62		
41.76052744	123.3699922	2	1		
